'408', '4540'
'452', '4528'
'460', '4652'
'480', '4612'
'420', '4592'
'360', '4500'
'404', '4624'
'456', '4464'
'336', '4596'
'396', '4632'
'74', '53.89', '396', '4608'
'75', '54.44', '420', '4544'
'76', '54.44', '464', '4596'
'77', '54.44', '484', '4584'
'78', '54.44', '-10720', '9724'
'79', '54.44', '-9268', '2256'
'80', '54.44', '-8684', '2344'
'81', '54.44', '-15024', '-592'
'82', '54.44', '-8188', '4776'
'83', '54.44', '-8664', '6028'
'84', '54.44', '-8104', '5900'
'85', '54.44', '-8268', '5616'
'86', '54.44', '-7980', '5972'
'87', '54.44', '-2920', '400'
'88', '55', '-748', '3072'
'89', '54.44', '-504', '3248'
'90', '55', '-472', '3276'
'91', '55', '-484', '3276'
'92', '55', '-556', '3172'
'93', '55.56', '-500', '3292'
'94', '54.44', '-572', '3256'
'95', '55', '-592', '3296'
'96', '55', '-596', '3284'
'97', '55', '-508', '3236'
'98', '55', '-524', '3236'
'99', '55', '-540', '3164'
'100', '55.56', '-524', '3172'
'101', '55', '-604', '3256'
'102', '55', '388', '1272'
'103', '55.56', '-15696', '-2960'
'104', '55', '-9336', '-1976'
'105', '55', '-3376', '14416'
'106', '54.44', '-4532', '-3276'
'107', '55', '-1836', '-1744'
'108', '55', '-684', '3728'
'109', '55.56', '-784', '-764'
'110', '56.11', '-824', '3372'
'111', '55.56', '56', '4316'
'112', '56.11', '-1712', '-332'
'113', '55.56', '-3600', '5628'
'114', '55.56', '4624', '2040'
'115', '55', '4004', '1920'
'116', '55', '24432', '-10084'
'117', '55', '12304', '4436'
'118', '55.56', '8404', '-4228'
'119', '55', '5364', '10812'
'120', '55.56', '232', '-704'
'121', '55.56', '3320', '5716'
'122', '55', '-4276', '6176'
'123', '55.56', '9828', '-1148'
'124', '55', '-8900', '2224'
'125', '55', '13312', '-2420'
'126', '55.56', '-7008', '1580'
'127', '55.56', '-8192', '1276'
'128', '55', '-1772', '-8152'
'129', '55.56', '3176', '2912'
'130', '55.56', '668', '4880'
'131', '55.56', '780', '4888'
'132', '55.56', '688', '4868'
'133', '55', '704', '4884'
'134', '55', '652', '4864'
'135', '55', '728', '4840'
'136', '55', '664', '4908'
'137', '55', '644', '4828'
'138', '55', '608', '4844'
'139', '55.56', '728', '4784'
'140', '55.56', '660', '4848'
'141', '55.56', '2624', '-352'
